X Dis,Y Dis,X Vel,Y Vel
-741.9639378,431.9,0,0
-741.9639378,431.9,-0.1,0.04
-742.0039378,432,-0.2,0
-742.0039378,432.2,-0.3,0.04
-742.0439378,432.5,-0.4,0
-742.0439378,432.9,-0.5,0.04
-742.0839378,433.4,-0.6,0
-742.0839378,434,-0.7,0.04
-742.1239378,434.7,-0.8,0
-742.1239378,435.5,-0.9,0.04
-742.1639378,436.4,-1,0
-742.1639378,437.4,-1.1,0.04
-742.2039378,438.5,-1.2,0
-742.2039378,439.7,-1.3,0.04
-742.2439378,441,-1.4,0
-742.2439378,442.4,-1.5,0.04
-742.2839378,443.9,-1.6,0
-742.2839378,445.5,-1.7,0.04
-742.3239378,447.2,-1.8,0
-742.3239378,449,-1.9,0.04
-742.3639378,450.9,-2,0
-742.3639378,452.9,-2.1,0.04
-742.4039378,455,-2.2,0
-742.4039378,457.2,-2.3,0.04
-742.4439378,459.5,-2.4,0
-742.4439378,461.9,-2.5,0.04
-742.4839378,464.4,-2.6,0
-742.4839378,467,-2.7,0.04
-742.5239378,469.7,-2.8,0
-742.5239378,472.5,-2.9,0.04
-742.5639378,475.4,-3,0
-742.5639378,478.4,-3.1,0.04
-742.6039378,481.5,-3.2,0
-742.6039378,484.7,-3.299878165,0.033020101
-742.6369579,487.9998782,-3.399390975,-0.020931194
-742.6160267,491.3992691,-3.498295355,-0.001836887
-742.6141898,494.8975645,-3.596348968,0.010328493
-742.6245183,498.4939135,-3.693310519,-0.064401142
-742.5601172,502.187224,-3.788940039,-0.065983481
-742.4941337,505.976164,-3.882999184,-0.07436786
-742.4197658,509.8591632,-3.975251523,-0.089495331
-742.3302705,513.8344147,-4.065462827,-0.11129873
-742.2189718,517.8998776,-4.153401351,-0.139702758
-742.079269,522.0532789,-4.238838122,-0.174624077
-741.9046449,526.292117,-4.321547213,-0.215971406
-741.6886735,530.6136642,-4.401306023,-0.263645635
-741.4250279,535.0149703,-4.477895541,-0.317539948
-741.1074879,539.4928658,-4.551100622,-0.377539948
-740.729948,544.0439664,-4.620710241,-0.443523801
-740.2864242,548.6646767,-4.686517756,-0.515362381
-739.7710618,553.3511944,-4.748321155,-0.592919432
-739.1781424,558.0995156,-4.805923305,-0.676051727
-738.5020907,562.9054389,-4.859132194,-0.764609249
-737.7374814,567.7645711,-4.907761159,-0.85843537
-736.879046,572.6723322,-4.951629119,-0.957367044
-735.921679,577.6239614,-4.990560793,-1.061235004
-734.860444,582.6145221,-5.024386914,-1.169863969
-733.69058,587.6389091,-5.052944436,-1.283072858
-732.4075072,592.6918535,-5.076076731,-1.400675009
-731.0068322,597.7679302,-5.093633782,-1.522478407
